"","rotX","rotY","node"
"1129",1799.42,1665,1129
"1130",1799.42,1765,1130
"1131",1799.42,1815,1131
"1132",1799.42,1915,1132
"1133",1799.42,1965,1133
"1134",1842.72,40,1134
"1135",1842.72,90,1135
"1136",1842.72,190,1136
"1137",1842.72,240,1137
"1138",1842.72,340,1138
"1139",1842.72,390,1139
"1140",1842.72,490,1140
"1141",1842.72,540,1141
"1142",1842.72,640,1142
"1143",1842.72,690,1143
"1144",1842.72,790,1144
"1145",1842.72,840,1145
"1146",1842.72,940,1146
"1147",1842.72,990,1147
"1148",1842.72,1090,1148
"1149",1842.72,1140,1149
"1150",1842.72,1240,1150
"1151",1842.72,1290,1151
"1152",1842.72,1390,1152
"1153",1842.72,1440,1153
"1154",1842.72,1540,1154
"1155",1842.72,1590,1155
"1156",1842.72,1690,1156
"1157",1842.72,1740,1157
"1158",1842.72,1840,1158
"1159",1842.72,1890,1159
"1160",1842.72,1990,1160
"1161",1886.03,15,1161
"1162",1886.03,115,1162
"1163",1886.03,165,1163
"1164",1886.03,265,1164
"1165",1886.03,315,1165
"1166",1886.03,415,1166
"1167",1886.03,465,1167
"1168",1886.03,565,1168
"1169",1886.03,615,1169
"1170",1886.03,715,1170
"1171",1886.03,765,1171
"1172",1886.03,865,1172
"1173",1886.03,915,1173
"1174",1886.03,1015,1174
"1175",1886.03,1065,1175
"1176",1886.03,1165,1176
"1177",1886.03,1215,1177
"1178",1886.03,1315,1178
"1179",1886.03,1365,1179
"1180",1886.03,1465,1180
"1181",1886.03,1515,1181
"1182",1886.03,1615,1182
"1183",1886.03,1665,1183
"1184",1886.03,1765,1184
"1185",1886.03,1815,1185
"1186",1886.03,1915,1186
"1187",1886.03,1965,1187
"1188",1929.33,40,1188
"1189",1929.33,90,1189
"1190",1929.33,190,1190
"1191",1929.33,240,1191
"1192",1929.33,340,1192
"1193",1929.33,390,1193
"1194",1929.33,490,1194
"1195",1929.33,540,1195
"1196",1929.33,640,1196
"1197",1929.33,690,1197
"1198",1929.33,790,1198
"1199",1929.33,840,1199
"1200",1929.33,940,1200
"1201",1929.33,990,1201
"1202",1929.33,1090,1202
"1203",1929.33,1140,1203
"1204",1929.33,1240,1204
"1205",1929.33,1290,1205
"1206",1929.33,1390,1206
"1207",1929.33,1440,1207
"1208",1929.33,1540,1208
"1209",1929.33,1590,1209
"1210",1929.33,1690,1210
"1211",1929.33,1740,1211
"1212",1929.33,1840,1212
"1213",1929.33,1890,1213
"1214",1929.33,1990,1214
"1216",1972.63,115,1216
"1217",1972.63,165,1217
"1218",1972.63,265,1218
"1219",1972.63,315,1219
"1220",1972.63,415,1220
"1221",1972.63,465,1221
"1222",1972.63,565,1222
"1223",1972.63,615,1223
"1224",1972.63,715,1224
"1225",1972.63,765,1225
"1226",1972.63,865,1226
"1227",1972.63,915,1227
"1228",1972.63,1015,1228
"1229",1972.63,1065,1229
"1230",1972.63,1165,1230
"1231",1972.63,1215,1231
"1232",1972.63,1315,1232
"1233",1972.63,1365,1233
"1234",1972.63,1465,1234
"1235",1972.63,1515,1235
"1236",1972.63,1615,1236
"1237",1972.63,1665,1237
"1238",1972.63,1765,1238
"1239",1972.63,1815,1239
"1240",1972.63,1915,1240
"1241",1972.63,1965,1241
